# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	0.000000e+00
1.1999e-06    	7.184409e+06
2.63962e-06   	3.999740e+05
4.36717e-06   	7.065907e+03
6.44009e-06   	-1.399934e+04
8.92729e-06   	-8.445744e+03
1.19115e-05   	-3.376809e+03
1.54914e-05   	-1.629989e+03
1.97859e-05   	-8.966895e+02
2.49383e-05   	-5.449563e+02
3.11186e-05   	-3.554618e+02
3.85304e-05   	-2.383295e+02
4.74246e-05   	-1.577486e+02
5.80012e-05   	-1.009137e+02
7.02752e-05   	-5.999278e+01
8.42608e-05   	-2.393894e+01
9.99751e-05   	3.928657e-01
0.000117435   	2.635743e+01
0.000134958   	4.551320e+01
0.000152511   	6.009794e+01
0.000170096   	7.145916e+01
0.000187712   	8.067515e+01
0.000205329   	8.863249e+01
0.000222977   	9.501889e+01
0.000240625   	1.008904e+02
0.000258273   	1.052251e+02
0.000275921   	1.094488e+02
0.000293569   	1.125352e+02
0.000311217   	1.151398e+02
0.000328865   	1.171989e+02
0.000346545   	1.191938e+02
0.000364226   	1.205049e+02
0.000381906   	1.216402e+02
0.000399586   	1.224518e+02
0.000417267   	1.229754e+02
0.000434947   	1.235714e+02
0.000452627   	1.237498e+02
0.00047034    	1.238360e+02
0.000488054   	1.239021e+02
0.000505767   	1.238589e+02
0.000523513   	1.237187e+02
0.000541259   	1.235062e+02
0.000559039   	1.232169e+02
0.000576818   	1.228700e+02
0.000594598   	1.224605e+02
0.000612411   	1.220298e+02
0.000630224   	1.215811e+02
0.000648038   	1.211002e+02
0.000665885   	1.205866e+02
0.000683766   	1.200517e+02
0.000701648   	1.195006e+02
0.000719564   	1.189472e+02
0.00073748    	1.183708e+02
0.00075543    	1.177885e+02
0.000773416   	1.172057e+02
0.000791401   	1.166231e+02
0.000809422   	1.160382e+02
0.000827478   	1.154899e+02
0.00084557    	1.149108e+02
0.000863698   	1.143460e+02
0.000881825   	1.137914e+02
0.000899989   	1.132039e+02
0.000918189   	1.125990e+02
0.000936425   	1.120677e+02
0.000954699   	1.115338e+02
0.000973009   	1.109552e+02
0.000991319   	1.104336e+02
0.00100967    	1.099174e+02
0.00102805    	1.094381e+02
0.00104648    	1.089182e+02
0.00106494    	1.083778e+02
0.00108344    	1.078806e+02
0.00110193    	1.074193e+02
0.00112047    	1.069282e+02
0.00113905    	1.064547e+02
0.00115766    	1.059834e+02
0.00117632    	1.055164e+02
0.00119497    	1.050503e+02
0.00121367    	1.046393e+02
0.0012324     	1.042171e+02
0.00125118    	1.037628e+02
0.00126995    	1.033261e+02
0.00128876    	1.029319e+02
0.00130762    	1.025227e+02
0.00132648    	1.021180e+02
0.00134537    	1.017013e+02
0.00136431    	1.013324e+02
0.00138325    	1.009461e+02
0.00140223    	1.005949e+02
0.00142125    	1.001995e+02
0.00144027    	9.984206e+01
0.00145934    	9.947632e+01
0.0014784     	9.911203e+01
0.00149751    	9.878869e+01
0.00151666    	9.843643e+01
0.00153581    	9.812500e+01
0.001555      	9.777699e+01
0.00157419    	9.745805e+01
0.00159343    	9.713839e+01
0.00161267    	9.681660e+01
0.00163195    	9.650389e+01
0.00165123    	9.620940e+01
0.00167055    	9.592991e+01
0.00168988    	9.563004e+01
0.00170921    	9.534767e+01
0.00172858    	9.505956e+01
0.00174795    	9.477564e+01
0.00176736    	9.449722e+01
0.00178678    	9.423195e+01
0.0018062     	9.396745e+01
0.00182566    	9.370225e+01
0.00184512    	9.342826e+01
0.00186463    	9.319308e+01
0.00188414    	9.294201e+01
0.00190365    	9.269427e+01
0.00192321    	9.245238e+01
0.00194276    	9.221615e+01
0.00196232    	9.198584e+01
0.00198192    	9.175049e+01
0.00200153    	9.151307e+01
0.00202113    	9.129161e+01
0.00204078    	9.107193e+01
